,0,1
97, Ahaha that's funny you anonymous bitch!!! :),1
98, If she was ugly as &quot;fuck&quot;  then i wouldn't be talking to her you retard...i know a pretty girl when i see one,1
99, haha i don't do coke you idiot...and i dont give a fuck about that guy he's the one commenting on my formspring so shut up,1
100, I don't know which question you're pointing at asshole.,1
101, How about you get over me and get the fuck out of here.,1
102, She's not ugly you stupid cunt  she's beautiful...why don't stop talkin crap and get a life you silly fuckstick. Damn  like honestly how much of a loser do you have to be to talk shit over formspring.?,1
103, Bitch  suck my fucken dick. Why don't you say that shit to my face you fuckin pussy?,1
104, Well then you'll go to jail!,1
105, Well if you can't support me and my decisions then maybe we shouldn't be friends. BITCH.,1
106, She's beyond cute  she's beautiful...and im not dating her yet  so you're wrong about me and my reasons for liking her.,1
107, ahaha i do have friends  and i know who they are so don't try to teach me about my own life.,1
108, I guarantee that you're a fuckin retard....soooo fuck you,1
109, Haha there's nothing special between us so shut your mouth...and she's better than you  depending on if you're a girl or not haha,1
110, Ahaha not really dumbfuck!!!! And even if she did i wouldnt mind  cause i dont care what other people think...all i care about is her.,1
111, Good for you...I don't see why you hate me though?,1
112, haha fuckoff loser i don't know who you are,1
113, No thanks I don't like dick,1
114, You honestly want me to guess? You could be anyone in the whole world! hahaha,1
115, I couldn't have said it any better myself :),1
116, Then you must have a very dull life...loser,1
117, Haha listen asshole  you can't sit there and try to tell me about MY feelings unless you know me on a personal level and we're good friends.,1
118, okay i dont really give a shit so find something better to do than criticize me.,1
119, Uhh you sound like a retard when you say shit like that  cause you dont know what's gonna happen...we could be going out for one day or one year  but it doesn't matter cause ill always feel the same about her.,1
120, Haha oh yeah...fml....but youz a bitchass nigga,1
121, Dude back the fuck off....i probably don't even know you so get the FUCK off of my fucken page and stay the FUCK away from Frances.,1
122, Nah bro  I'm straight as can be,1
123, I could give two shits and a fuck about your hatred for me :),1
124, You're the one being anonymous! Give me your name and ill have someone beat your ass.,1
125, You know it :),1
126, Fuck you bitch  if you did know me then you would know that Lindsey and Haley both played me so shut your mouth,1
127, I appreciate you trying to help  but its not working...so why don't you go away and stop being jealous  yeah?,1
128, You're a bitchhhhh,1
129, How bout you suck my dick?,1
130, Well you're fat.,1
131, Well you're a rapist so fuckoff,1
132, I didn't know 5th graders were so badass....why don't you get out of here before i fuck you in the ass so hard  your kids won't be able to sit down for the first 8 years of their lives!!!,1
133, threw it at his nazi regime.,1
134, No I'm not. And personally  I don't think it's a quality that you should be so proud of...? Be nice. :),1
135, cross eyed haha,1
136, show your face,1
137, No? haha show your face,1
138, nope but i can imagine,1
139, nope. but sometimes I sure wish I had someone I could pour all my thoughts out too..,1
140, okay anonymouser???,1
141, Really? Show your face.,1
142, that sucks. hahaha JK,1
143, NO! I hate dumb people.,1
144, I don't harass people on formspring. Will you stop harassing me :( you keep leaving anonymousness on my page. r Keep your negative thoughts off my FS please and thank you very much. :],1
145, thats not veryy nice :/,1
146, Im not..:( stop being mean for no reason.,1
147, i guess all accents are neat and nice in the beginning but to live with it for ever....idk. I cant stand the hick-red neck blahhhh i gotta talk like im stupid and have no knowledge as to what im saying yaaaahhh'lll. UGh. Hate it. haha,1
148, the same as alchy. its dumb,1
149, I had my first 3 way attack on the phone when I was in 8th grade. That was pretty dumb haha,1
150, You really ask a bunch of personal bodily questions. hahar Buuuuut they usually don't . being that they are only enough boob to see that I am a woman ;] haha I don't find clevage necessary to be attractive.,1
151, Hmm..overrated?r r Taylor Swiftr Jonas Brothersr Miranda Lambert,1
152, why dont you find out and get off my page? Mmkayy thanks. :),1
153, Because of selfishness. and this is not by nature!!!!!!!!!!!! learned and accepted. if you want to be greedy you will  if not...you wont. It's that simple.,1
154, why are you talking to me in anonymousness? be a man. show your face. Hahah,1
155, i havent ate fries in a long time!,1
156, LMAO AH SHEESH CAUGHT ME  SEE THAT'S WHAT HAPPENS WHEN THAT KUSH KICKS IN  MAKES YOU FORGET SHYT LOL  N IM GOOD MAMA WBU??,1
157, You little bitch ! haha &amp;you bettter nott ; ill kill you <3,1
158, Yeah I know she was writing her own questionss funny shit,1
159, i know  thanks .,1
160, Lmao   haters<3,1
161, Lol the day the bitch takes it off anonymous is the day she grew some balls!,1
162, For real tho(:,1
163, ((: i love youu too<3 &amp;yeeee ! i memberr tht shit hehe,1
164, Haha I knoow huh but they don't matter(: I love youu too Stephanie<3,1
165, I lovee ahh haterr<3 but did you know that your uglier than my dogs shit? Nahh juss kiddin I'm not a bitchh like youu(:,1
166, Umm i don't wanna catch anything :/ sorry(:,1
167, Your honestly waisting m time but whtevrr.. I don't care wht you think juss come and say it to my face..,1
168, NOOOOO! Fuck YOU &amp;your Celetics(:,1
169, If this is Arron you really need to get off my ass! Call me a bitch idc I know I am! But I think your retarded&amp;&amp; hella ugly!!! &amp; dont put a pic of your body only wen you don't got a nice one :D and naah nigga fuck YOU!,1
170, Haha it was so funny!!! Haha yes they are damn(; how thee fuck did you know my bra size ;p,1
171, Fat or skinny I still got em   way better than having NOTHING ! Get a life bitch and get off anonymous with this bullshit.,1
172, Hey bitch  who said I was mad ? Assume whtevr but if your gonna talk shit put your name alright?,1
173, Well you're uglierrrr(: your life juss get lowerr each day. So keep talking your shit.!,1
174, I love you too<3,1
175, Take your shit off anonymous and then we can talk . &amp;you probably know what being a hoe is all about bitch.,1
176, Lol   ily too!!,1
177, Lol I know this information(: Thank Youu,1
178, Got that right(: I love youu too<3 Maybe the pussy ass bitches will say it to my face one day !,1
179, haha(: i suree do,1
180, hahaha weinerr!(:r Duh i remember him :),1
181, Is your mom gonna be there??? Fuckk you bugg!! and it takes a faggot to know a faggot hunnyyy,1
182, Money  weed(: lol I love tht songg,1
183, Hmm; maybe why? She wants another ass beating? Lol jkk,1
184, Youur mean stop hating :),1
185, She gonnna kick yoo ass :0 lol,1
186, Im taller than alot of ppl(: thankkks,1
187, Yea maybe you should grow some and take it off anonymous next time (:,1
188, Your the bitch for having it on anonymous . Do you honestly think I care if your low life ass hates me?? Your probably ALL talk so just shut up now !,1
189, No never!  I love tht boy<3,1
190, You can try  but it won't happen.. I don't know why your ass is still talking to me.. I don't like to talk to ugly bitchessss,1
191, Haha thanks (: who are youu ?,1
192, Get some boobs   &amp;a life !,1
193, Thanks but I think you need Jesus in your life,1
194, nope iDnt do dat boo,1
195, well lemme trow mine dnt yo thoart nd iDnt eat pussy so ya wont be duin daT,1
196, wtf get outa hea bxtch!!,1
197, hoe ass bxtch how bout ya show yo face pussy..nd stop kuming hidden...So how bout ya suk mi dik nd die slowly,1
198, lol go suk my dik nigka kum check outside lakes park n we will see...Who diz anywaysz???,1
199, lol yew duh !!,1
200, nd idk yew ask dem,1
201, wtf bxtch iAnit gayy nd no da fukk he anit lyke wat iLuk lyke iOnly do gurlz now clea it! Bxtch !!,1
202, lol iKno iDnt even kno dem,1
203, no Wut iLuk lyke,1
204, wtf bxtch get da fuk out hea wid dat ish WUT I LUK LYKE !!!,1
205, lol yew sure kan,1
206, kum get it den,1
207, Kum get it den,1
208, ohkay tell mi when nd where,1
209, oh naw iAnit on dat ish iNeed my dik,1
210, hello no bxtch clea itt of mi ish!!!,1
211, wtf iDnt watch dat nd no iWasnt,1
212, yew gotta tell mi wea ta kum at,1
213, LOl idk who dey are,1
214, nun really juz fuxing around... Yew?,1
215, which park??? nd when,1
216, nun juz jooking nd viben,1
217, wtf do iLuk gay datz mi homeboi,1
218, lmao iThink n kno who diz is....buh seriously idk...,1
219, lmao told yew bxtch...who diz?,1
220, lol nigka suk a big ass dik,1
221, lol naw itz goes iStick yew Lick !!!,1
222, Lmao who diz ? nd iDnt have all mi teeth so suk a big slab lol,1
223, bxtch iAnit gay cleaa it,1
224, lmfao who da hell is diz wtf yew stopid [[neva dat]],1
225, Bxtch fuk wrung wid yo no lyfe aihh nd anit gay so alix anit see mi dik so get ghost fuk face hoe !!!!!!!!,1
226, bxtch suk mi slab nd get lost ... YODA!!!,1
227, sure nd iHave smashed a white gurl,1
228, im not guna lie iDnt memba..But if iDid memba it wud be nun of a damn concernz !!! LMAO,1
229, LMFAO iDNT HAVE ONE,1
230, lmfao wea yew get dat from,1
231, Who iz yew...if yew a female nd not ugly iWud feel yew anytyme,1
232, bxtch have yew seen yo self r ya ugly ass,1
233, Ask him krista I don't know his life. Get the fuck off of my formspring your so annoying,1
234, Mhm! By who? Haha don't be anonymous pussy.,1
235, What's up mr. pussy?(: Say shit to my face.,1
236, Thats cool IDGAF who you are!! Get off my dick like for real!! Later,1
237, Oh? Thank you!,1
238, Am I?? Tell how im desperate? Please I would really like to know.,1
239, Yahhhhhhhh cause you know my whole life right? Get off my formspring and stop asking anonymously pussy duecessss!,1
240, Haha whateverrrr dude you don't even know anything she does. I don't even fucking know you! You don't even fucking know me! Like seriously get the fuck off of my profile like for real im done with her bullshit it's fucking annoying. You can ask anybody ask any of my friends. She is fucking obsessed GOODBYE!!,1
241, Yuup say shit to me in person not over formspring bitch.,1
242, Ha I will juss block you. Dueces crazy ass bitch.,1
243, Your fucking stupid!!! You didn't put your name as annonimus fucking retard!!! Fucking leave me alone stupid kunt dueces!!,1
244, Im not stupid. Fucking leave me alone your a crazy bitch that needs to get over me. Stop texting me every second of the fucking day! EVERYONE THAT IS READING THIS< KRISTA IS AN ANNOYING BITCH THAT IS OBSESSED WITH ME AND SPREADS RUMORS ABOUT ME BECAUSE I DONT LIKE HER. I FUCKING HATE HER!! LEAVE ME THE FUCK ALONE!,1
245, Nope I don't have anything to worry about dina. Because I trust her.,1
246, Your fucking stupid like seriously mentally retarded stupid! Laterrrzzz,1
247, haha okay jordin,1
248, i would if i could. and texas is a state. if you want me gone so bad buy me a plane ticket hoe.,1
249, i dont really no what to say to this.. :/r justin is my friend and im not going to say that to him.r andddd........,1
250, hhaahahha YES!,1
251, jesus  freaking no. im just really upset and confused and it makes me feeel like i have to. stfu.,1
252, hahah no? i dont even look like a fake.,1
253, amen! hahaha  its pretty much just annoying now  except its kinda a compliment people think im fake :),1
254, how about a big cup of stfu?,1
255, :) awhhhh thankyou,1
256, umm jack i didnt ask you to  the argument was won me and sam dominated honestly you didnt do anything to help the situation  yeah thanks that was nice. but that does not mean you've been nice.  and i dont no who did it sooo?,1
257, ummmm your great,1
258, oh man  and it hurt sooo bad ;) haha people who say that dont no me.,1
259, okay  welll the question that was asked was if i was fake  as in useing someone else pictures off the internet. and really i take that as a compliment because all the people who are ''fake'' i think look reall pretty soo stfu.,1
260, hahhaha no sorry.,1
261, nope  i pretty much have proof on my facebook. but hahah im realy :),1
262, hahaahhaha  im starting to take it as a compliment lmao hahahah. :DDDDDDD,1
263, haha okay jordin,1
264, >:l shut up dumpster baby.,1
265, hahahahahahahahahahahha,1
266, :D your perfect.,1
267, hahahahahahahhhahahah oh my god i love you.,1
268, ahahahahahahahah :),1
269, hahahahahha god i love you keeley  you forgot to ask it anominously  but song- i cant name you by man with robot hands  movie nightmare before christmas book- weight of silence. LOCKERBUDDIES4LIFE YO!,1
270, okay  do you really have nothing better to do  and i know who this is because there are only a couple people who dont like me  soooo. probably just say it to my face  or ill just come talk to you :),1
271, hmm im not sure  i'lll tell you when that happens. i have plenty.,1
272, well.. thats..,1
273, good thing your not even showing your name. and i did to you was say i didnt wanna go to brock?,1
274, ok  i didnt no he had one.,1
275, hahahaha okay?,1
276, hahahahahaha okay  well i dont actually no how to delet it  i was looking out for my bf cuz i dont want people to say mean things to her  im tottaly fine with people saying stuff to me  but her? no.,1
277, how about you just stop leaving stuff on my form spring? haha seriously.,1
278, hahahaahaha who are you?,1
279, if this is who i think it is  you have a girl friend. you got together the day you DUMPED me for somthing STUPID.,1
280, eww. stfu. perv.,1
281, oh oh  christofer drew. at dennys. hahaha or hitler and jesus at the same time cuz jesus is a jew and i wanna see how that would turn out and we would eat at einstins house so he could think of something smart,1
282, lmao hahahahahhaahah who is this :)r but ha yeahh,1
283, <3 i love you jo,1
284, okay  buy me a plane tickettttttttttttttttt  thankyou,1
285, SAMANTHA YOU WHORE,1
286, wellll  im not fishing for any  your annoying  go do something else than be rude to me.,1
287, hahaha why are you telling me to stfu when you wasted your time writeing that? lmao okkkaaayy jordin.,1
288, HAHAHAHAH thankyou  im pretty sure that the anominous person get the picture now :) ha  now i just wanna find out who cheyenne is >.<,1
289, <3 thankyouuuuuuuuuuuuuuuuu!!!!!!!!!!!!!!!!!!,1
290, hahah yeah i no what that is  but i dont live in if anymore to go to the shilo,1
291, okayyyyyyy? hahahaha. im not fat?,1
292, screw you.r and stop texting me.r and probably go fall down some stairs.,1
293, ummmm actually im saying im not fat likee in your stupid for saying that.r *dummie,1
294, well i pretty much have proof  and haha im reall as can be,1
295, your evil  go be rude somewhere else  i dont even think im pretty,1
296, hhahahaahhaahaha  sounds like a good song. lmfao i litterally laughed at my computer for like 3 miniets  and my sister was like wtf,1
297, no  im tabitha jai locascio.I HAVE NO CLUE WHO THIS CHEYENNE IS  so please send a link so i can see for myself  because i guess she might be using my pictures. i have a myspace/facebook,1
298, hahahahahha okay.,1
299, lmao  just stuffffffffff,1
300, hahahahahaha funny jordin  thats not what they mean  they are meaning i am useing someone else pictures and not my own so stfu okay?,1
301, who is this weirdo who commented me anominous? hahah idkkk,1
302, people who get mad because i say texas is stupid but really its a insider with my old school and fam. and alllll i said was i want to switch schools and go to a bigger one because im not use to a small school and there is more drama  and everyone freaks cuz there school isnt good enough for me or something idk  people.,1
303, once again texas is a state  and its lame. i was perfectly fine where i use to live  with people who werent small minded and snobby. i dont much hate the state i hate most the people and how texas is ugly and doesnt have grassssssssssssssssssssssssssssss.,1
304, who is cheyene? give me her url?,1
305, lee is awesome!!!!!!!!!!!! haha i love jake but whaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa. i dont even have to answer that ;) JUST JOKING NO,1
306, hahahahahahahahahahahhaahahah i love you  that was the best.,1
307, ummmmmm this is actually really creepy and doesnt make any sense,1
308, hahahahahaha okay. sweet whats your definition of hoe?,1
309, jordin  i think i remeber telling you to leave me alone? but its  very interesting its from the movie mean girls :) but im very confused in why your still stalking me  and trying to put me down  stop now :),1
310, hahaha okay jordin,1
311, oh i am? haha thats funny because half the time i dont do my makeup or hair unless i have to  and then i barely wear make up  but thats good you think that  i think im ugly  so i avoid mirrors.,1
312, *fake r ummm im pretty sure i dont look like a fake at all im not that pretty  thanks though,1
313, well  dont talk to me please  maybe go fall down a couple stairs,1
314, hahahahaha lmfao okay.,1
315, hahahahaha actually i can ;D but wtf? hahahaha,1
316, also known as sepreh would you still be my friend if i had herpes?? ps #Fact i always go to spell herpes as herpies haha (her - pies?),1
317, well zobliviously i cant be them all you n00b lol,1
318, i dont need advice............unless u help people with there sock eating problem....and when i say sock i mean ding dongs.........lol.,1
319, scientifically probs not but i would say yess lol :S,1
320, i honestly think we wake up before opening our eyes. we go thru a REM cycle in our sleep,1
321, haha thanks :D,1
322, bahah yup that you do. but im not gonna tell the whole fuckign world what it is lol,1
323, either a family member or one of my guy friends that would come and protect me :D,1
324, thank you but i am not a slut :D you must have been really bored to send me shit like that :D,1
325, lol ummm idk i like alot of them :D,1
326, it has to be the 3oh!3 and cobra starship with guests travie mccoy and i fight dragons concert :D Gabe Saporta is my new love! :D,1
327, no fucking clue,1
328, idk haha :P it probably is el torito  at least thats what i can think of lol,1
329, cuz he is a &quot;jackass &quot; lol idk,1
330, wow thats totally not what i was going for. i dont want tattoos to change my appearance to hide anything. thts definately not my goal at all. and you think im ugly inside? thank you i appreciate your opinion. and your the only one who thinks that.,1
331, haha  nah nah.(:,1
332, Hahaha  don't be creepinn' do I know yuuhh? I can sneek out whevver the fuck I wannntt ;),1
333, Elventy four.r Jeez fuck offf..,1
334, Ha  well uh alright good to knoww. Who's this? You're funny ha.,1
335, Haha  chill out (:r Yehh  I used to. I'm kiddingg. r Buut I don't anymore :),1
336, Never will (;  Youuuu get over yourself  stop trying to fuck freshman faggg. Damnn.,1
337, The fuckkk? I've never smoked before in my liiife ;) r Haha  but no  I don't smoke  quit asking,1
338, Duuude why do you check my page dailyyy?r You're Creeeepppyyyy! Damn  go back to your girlfriendd,1
339, What the fuck?,1
340, Asking is different than,1
341, Martina McBride   my step dad made me take my mom for Mother's Day. It was fucking gayyy,1
342, Billings? Hah.,1
343, Hahahaha :) by Briarwooodddd.r Fuck yehh  (:,1
344, Anonymous yo.r Eh   whatever not a big deal.,1
345, Uhhh nice spelling dumb ass..r It's C-A-M-E-R-O-N  L-O-O-M-A-Nr What the hell? Fucking idiot..r Anyway no  it was Layne Renyolds,1
346, Hmm  I'm not suure. r Haha  probably my sisterrr :) r It's the genes ;D,1
347, Lol miki I love you toooo (;,1
348, God I really hope this is from ashley haha. (:r Ashley: What are you talking about we do all the time hahahaha (;r Someone else: 'Cause I'm straight hun. Sorryyy (;,1
349, haha shut up anthony  you suck.,1
350, Hahah  I'm a girl. It's in our blood to suck at video games.,1
351, oh hahaha well ur funny lol:),1
352, wtf do you mean lol:),1
353, wat your the bitch as nigga that my name:) &amp; for not showin yourself was a bitch move:) you just hating:),1
354, huh i smell a hater lol:),1
355, hahahahaha you the fagg buddy lol:),1
356, wat fuck you pussy:),1
357, huh wtf is that site  but fuckit  who the fuck care hahaha lol:),1
358, wat who are you maybe i will:),1
359, oh hahaha really damn hahaha yup i would hate that two hehe:),1
360, haha wat are you talkin bout your the fag bitch:),1
361, damn do you want really haha:),1
362, hahahaha that a big lie:),1
363, nawww im Straight:)&amp; fuck that:),1
364, haha naw i havent im not really new i been haviing this for like 4 months haha:),1
365, huh naw but im not a mean as guy lol?,1
366, haha i dont do that haha:),1
367, haha i aint a whit boy you bitch as nigga:) im mexican &amp; proud of it:) so get your fact Straight &amp; why you a bitch to tell me who you are just a loser as nigga get a life dude:),1
368, hahaha your funny you cant even see my top friends &amp; i dont have a top five anyways:),1
369, hahahahahaa  thankss  (:,1
370, i never said she was? me &amp; her are good now  &amp; okay thats your opinion  &amp; yeahh ha cause ill believe someone i dont know (:,1
371, I was naming people who live out in that area  ha yeahh okayy. I really don't care what some bitch thinks about me (:,1
372, hahahaha I love you abzilla killa! <3 and he'll yeahh fuckk the bullshitt!,1
373, why dont you ask him yourself?,1
374, hahaha  i love youuu (:,1
375, THANK YOU  i love you rhiannon <3,1
376, you wishhh  ugly fuckkk,1
377, i love me some julie! &amp; fuck yeah!,1
378, ha obviously you dont know shitt  i would love for you to say that to my face  someones jealous (: aww thats cute,1
379, awww your always gonna be my BESTFRIEND  i love you so much allykinpoonanners <3 without you i would of been dead by now  you helped me so much  your like my sister. i love you! <3 fuck shady tricks (:,1
380, hahaha  she deff didnt run our school  &amp; never will !,1
381, yeahh ill believe what i wantt  k thankss  cause i dont know you!,1
382, wtf? uhm no darlin  (:,1
383, hahahahahaha  I just laugh cause you don't know nothing  if you wanna fuckk him go for it sweetheart  &amp; I didn't know he had one  ha,1
384, hahahhahaha  thanks darlin (: &amp; no thanks,1
385, hehe coming from some pussy that doesnt even put their name?pathetic much?,1
386, of course stranger.,1
387, already answered this haha,1
388, Why  the fuck would you ask me something if your Ganna answer for you dumbass... But thaks for your &quot;timeeeee&quot;<3,1
389, stfuu your gay r hopp off!r your the lesbian here that wont leave me alone!!r and why the fuck would you care if i think the whole world is minee?r &quot;GROW UPPP&quot;,1
390, im always myself and dont worry about my relationships  they're definitely none of your business. im only a bitch if you deserve for me to be one  which im sure YOU do(:,1
391, then stop writing on my formspring you dipshit...r formspring is to ask questionssssssss.r r r dumb bitchhh -___-,1
392, yes i did and dont worry about it:),1
393, haha deff not stupid skankkk.,1
394, ... get a life!,1
395, nahh chill with that,1
396, FUCK NOOOOO MAN.,1
397, yoooo nigglett:)),1
398, haha no im not i love how ppl talk so much shit. ive had three boyfrineds the past two years and im talking to someone right noww..,1
399, haha   yes baby...i remember,1
400, haha  yes baby...i remember,1
401, really bitch...r grow the fuck up and why dont &quot;you act your age!&quot;r why the fuck do you actually take your time writing this shit if i obviously DONT GIVE A SHIT WHAT YOU THINKKK....bt dubbs i am 13 you fucking dumbass!r and &quot;SLUT?&quot;really?...r wow ... how more pathetic and imature can you get???r AGAIN r GROW UP!,1
402, your pathetic  get a life you dont know me  suck a dick!!r r PEACE BITCH!r ~LAURA<3,1
403, omggggz  how'd you know !? i stuff it with toilet paper and everything...just like the movies! stop hating and get something better to do. and yeah if you're a girl  watch out  i might be after you. nahhhhhht,1
404, ....r not creepy at all,1
405, lol yeah deff ...get a lifee,1
406, Wowww...I love how you put your name;) hit me up then....,1
407, haha your such a cutie...r nahttt!,1
408, go find something better to do with your lifee hopp off and stfu cuz you dont know me mkayy:),1
409, hah pussy bitch you make no sense..,1
410, not   i stay outta dramaaa.,1
411, haha aw i love you too<333333,1
412, hah..what the fuck are you ganna do?r shows how much you know...your such a fucking pussy that you dont even put your name..,1
413, no not really you werent there.r and  nah thanks for the opportunity:),1
414, stfu stfu your so imaturee,1
415, haha yeah thanks ... and jhocelyn  idk whats going down.ppl are just tlking shit saying that im ganna fight her...,1
416, lmao i noe haha,1
417, that legit gross.,1
418, how funny i havnt worn makeup for almost two weeks,1
419, stfu i doo and dont wrry bout mee...,1
420, i love how your so fucking two faced man  you say hi to me every day. what the fuck is your problem man. you know what heres a new comeback for you  hop off my dick bitch and go comb the hairs on your mole. you fucking two faced bitch like all your lil friends. thanks for your time bitch <3,1
421, stfu you would be mad if some fat girl named twinkie threw shit at your hair ..and you make no sense!,1
422, wtffff get a life.,1
423, and againnn dumb hoe,1
424, then i blew her brains outt$$$,1
425, Can't please everyone.,1
426, thanks julie<3r i love you:)),1
427, muahahahahah!!!!<3,1
428, wtf does ughhhhh meann? your a dumbass.,1
429, g   let me guess.... i dont really give a fuck what you think cuz you dont know me . and im only a bitch to you cuz i either have a problem with you or your just annoyingg!,1
430, okay fatass bitchh:)),1
431, haha i love how you fake bitches call me a whore when i have had the same boyfriend for 2months and 11days but... then again you know my whole life!,1
432, wtf? i never lied... i told austin that alex can be a bitch to sofia and that she gives me death staress thats alll..,1
433, lmfao yeeeea you would know...,1
434, Hah love you bAby gurlll<33,1
435, awwwwwwwwwwwwwwwwwwwwww.....r thanks kid your amazing.,1
436, wtf...yo stfu man  stay out of it..,1
437, why do you care soo much hater..,1
438, thats not weird at all,1
439, lmao no thankyou...,1
440, does it bother you?r hah  ligaf.,1
441, honestly you dont know and dont tell me what to doo foool.,1
442, and what am i doing thats so bad...,1
443, shut the fuck upppp BITCH...r r your pathetic so why dont you stop writing on my formspring and get a lyf cuz you have nothing good to say that i give a fuck abouttt.,1
444, haha nah naht really it depends but im usuallly a size 6 1/2 or 7,1
445, your face looks gay.,1
446, HAH... nah fool were str8,1
447, and your a niglett:p,1
448, srry your too hardcore for me,1
449, haha honey bunn r puleaseee i would do anything to look as good as you<3,1
450, yo stfu!r thats your opinion thats he's ugly not mine.r and hes not a pothead so get your shit straight:),1
451, stfu you obviously dont know me i dnt try to grow up to fast just becuz i chill with older ppl,1
452, im sorry   i cant  please everybodyr :),1
453, lmao woooow u hater thats ok cause i have nothing but love to throw around lol,1
454, yeh i know that lmao,1
455, lol sounds great lol,1
456, LMAO! that hard red alert all ova it but its cool sorry i didnt mean to lol,1
457, nothing ill prolly be dead by then n e ways,1
458, lol NO COMMENT!!,1
459, dingo ate my baby =/,1
460, yes i have and seen as this is a g rated site i will not maybe in a week :),1
461, i dont eat brekkie =((,1
